Indices Prediction_Value
13 231.21486693284666
110 427.11580342617805
118 439.5908432745024
127 348.9974348923295
161 2599.663871433208
164 2096.6057247227527
184 106.62017952350926
351 92.40709420289517
352 162.53694346985435
410 255.72356741211019
442 181.2404832178609
494 1067.5225520218758
517 548.9110450391921
533 2723.073278422321
536 1894.6228704349535
545 1425.0193416546226
558 1589.3882257056644
566 563.0700310298324
591 1105.3458571853366
703 124.55629403293122
777 152.5185340722611
907 110.00518910453147
935 173.93921662640145
980 758.7232174252337
1094 240.9506371489479
1111 97.95441261250333
1216 295.60329531006124
1229 1649.9002881320657
1256 1504.7395239956322
1268 2382.3612589572053
1321 137.05149892699265
1572 2888.3670777211933
1592 3036.0367008024928
1601 2682.9494477974317
1612 592.859609954234
1635 852.2814023731954
1638 861.2442591013154
1694 150.61104487125255
1699 401.6058692538237
1710 875.3695419115678
1773 218.6224212802593
1793 341.97339583973644
1909 295.87865846607946
1941 676.1502074617551
1943 455.22392524134267
2544 1923.9904787131252
2559 352.59722739258984
2589 1057.757092537641
2604 819.7723426960068
2611 1046.8381828327213
2642 685.4898625077905
2646 989.2468293147543
2678 301.508080723015
2709 244.2530124573701
2748 144.08985031366893
2757 239.80203541995513
2769 351.647054997893
2803 1558.063273017788
2871 249.45066773132012
2918 1302.259382732896
2924 467.1928435894603
2928 702.4300082531457
2942 593.9826709404273
2970 596.574189060186
2981 1266.1945087746212
2986 540.4129478039953
3029 1207.9007858234236
3062 1205.9167449692536
3069 954.1161728323445
3145 355.89383079847
3190 1646.1964592094039
3232 3513.9868335301258
3259 2277.648608787253
3275 1554.3360449407487
3318 1188.3326432785261
3376 1047.0883114900637
3413 1307.4551181110453
3429 771.564332390818
3431 814.6494096244197
3472 0.0
3529 205.83240008977248
3546 1582.9541459352592
3564 104.14705940619399
3669 235.18218662835432
3757 1545.1270300318756
3759 958.7252341282501
3770 227.96582935571723
3778 447.72716703406985
3784 342.4361637563985
3787 430.34719358635624
3789 562.1981988709423
3792 392.51852046712906
3794 390.76409416490696
3797 316.2745685976364
3798 328.497019230859
3805 327.0865850275353
3807 310.87651928173597
3809 343.23534306602966
3818 300.52990453804443
3820 399.5546086916139
3821 458.9576108444788
3829 1049.4603691477978
3844 319.15709101109104
3919 509.610018160393
3942 997.4565398475279
3967 1104.7463021445878
3973 1410.5170780901544
3985 517.3141036194411
4061 351.93097394217006
4071 163.6777321605775
4107 217.6030070261006
4215 52.83131486992861
4245 62.693795039158445
4275 135.57916658799348
4350 238.5168349954665
4523 53.29428958875607
4614 121.39052632036471
4733 313.91160094868957
4797 193.671218406147
4828 532.6852371898278
4842 451.77973799731683
4862 628.4073401248226
4872 914.9499409332861
4907 554.3123840085713
5040 747.258030536567
5120 1426.6180453431678
5123 1570.6508130745178
5160 1568.9210325881327
5168 421.4925549722332
5249 185.73498480663966
5262 966.1693064472313
5289 99.40317392383194
5321 133.68851669857952
5578 25.90610110594821
5616 62.10509097507142
5724 67.47074015151595
5756 92.0944251527176
5772 116.32465768047835
5781 237.29605042119536
5790 505.9032493985998
5799 551.039822811898
5803 1236.3475858381737
5807 685.7044766117631
5808 469.4378879699321
5819 358.62942927217233
5825 262.12337604380417
5841 188.94828560946868
5856 833.2115735282526
5859 784.7604180676794
5877 552.0702803174454
5883 689.7888243509948
5896 208.9031079466881
6142 23.165119914241792
6301 118.5655794298518
6394 371.9499443052501
6427 180.5850109575181
6764 117.39011530547549
6793 168.6651527023873
6826 727.9805163970838
6832 890.0983618219
6873 885.8872300170779
6922 315.9493893696453
6946 509.86922768823774
6979 306.5315919019647
6985 239.31439320716865
6992 258.4195237988424
6997 470.5980031783396
